row,Region,Avg. temperature,Regional Illnesses,Week of
464,05,38.50343511450384,5,12/10/2022
465,06,66.3514910536779,12,12/10/2022
466,07,43.2538834951456,4,12/10/2022
467,08,31.772164948453586,11,12/10/2022
468,09,50.0588888888889,2,12/10/2022
469,10,33.71008403361344,14,12/10/2022
470,01,45.664179104477626,1,12/03/2022
471,02,46.591566265060244,4,12/03/2022
472,03,53.82791519434629,6,12/03/2022
473,04,63.9168478260869,12,12/03/2022
474,05,44.17003816793889,5,12/03/2022
475,06,62.23717693836979,4,12/03/2022
476,07,48.046359223300946,0,12/03/2022
477,08,33.754982817869404,13,12/03/2022
478,09,53.60666666666666,3,12/03/2022
479,10,34.76890756302521,7,12/03/2022
480,01,40.552238805970156,4,11/26/2022
481,02,43.10963855421687,3,11/26/2022
482,03,50.88021201413429,4,11/26/2022
483,04,59.725679347826016,10,11/26/2022
484,05,43.63740458015264,5,11/26/2022
485,06,55.03836978131218,6,11/26/2022
486,07,51.15970873786413,4,11/26/2022
487,08,40.98865979381444,9,11/26/2022
488,09,59.52444444444446,3,11/26/2022
489,10,42.09999999999998,4,11/26/2022
490,01,45.3044776119403,4,11/19/2022
491,02,43.612048192771084,6,11/19/2022
492,03,46.43992932862192,5,11/19/2022
493,04,53.469429347826114,17,11/19/2022
494,05,33.62347328244277,4,11/19/2022
495,06,51.03180914512924,9,11/19/2022
496,07,35.234466019417475,13,11/19/2022
497,08,28.138487972508607,5,11/19/2022
498,09,55.49,4,11/19/2022
499,10,38.17142857142859,8,11/19/2022
500,01,63.826865671641784,13,11/12/2022
501,02,65.18433734939758,30,11/12/2022
502,03,69.27597173144876,8,11/12/2022
503,04,75.49076086956518,18,11/12/2022
504,05,58.8379770992366,4,11/12/2022
505,06,73.56083499005955,7,11/12/2022
506,07,58.28033980582524,8,11/12/2022
507,08,37.62920962199311,16,11/12/2022
508,09,54.085555555555544,1,11/12/2022
509,10,39.65630252100841,4,11/12/2022
510,01,,6,11/05/2022
511,02,,6,11/05/2022
512,03,,7,11/05/2022
513,04,,21,11/05/2022
514,05,,3,11/05/2022
515,06,,4,11/05/2022
516,07,,0,11/05/2022
517,08,,5,11/05/2022
518,09,,8,11/05/2022
519,10,,5,11/05/2022
520,01,62.40000000000001,4,10/29/2022
521,02,64.33132530120481,3,10/29/2022
522,03,65.65265017667843,5,10/29/2022
523,04,73.98043478260865,18,10/29/2022
524,05,64.79160305343507,6,10/29/2022
525,06,74.20278330019885,10,10/29/2022
526,07,67.15169902912619,4,10/29/2022
527,08,51.76460481099659,9,10/29/2022
528,09,64.17555555555553,3,10/29/2022
529,10,47.636134453781494,4,10/29/2022
530,01,59.37164179104479,4,10/22/2022
531,02,57.75542168674696,5,10/22/2022
532,03,60.8088339222615,8,10/22/2022
533,04,68.96834239130446,16,10/22/2022
534,05,53.79809160305345,5,10/22/2022
535,06,74.59860834990057,9,10/22/2022
536,07,63.75631067961166,13,10/22/2022
537,08,62.058075601374604,7,10/22/2022
538,09,77.52999999999999,20,10/22/2022
539,10,68.76554621848736,9,10/22/2022
540,01,61.214925373134335,6,10/15/2022
541,02,63.0397590361446,3,10/15/2022
542,03,66.25123674911656,12,10/15/2022
543,04,75.8205163043478,30,10/15/2022
544,05,63.07786259541985,6,10/15/2022
545,06,81.22206759443334,26,10/15/2022
546,07,71.18470873786409,4,10/15/2022
547,08,64.63092783505155,12,10/15/2022
548,09,81.21777777777775,24,10/15/2022
549,10,72.4563025210084,22,10/15/2022
550,01,62.843283582089555,6,10/08/2022
551,02,61.99999999999998,4,10/08/2022
552,03,63.605300353356874,6,10/08/2022
553,04,76.65366847826091,24,10/08/2022
554,05,67.85267175572515,6,10/08/2022
555,06,82.99423459244538,16,10/08/2022
556,07,74.33762135922332,31,10/08/2022
557,08,64.56426116838487,7,10/08/2022
558,09,81.36000000000001,59,10/08/2022
559,10,73.50420168067222,22,10/08/2022
560,01,64.5597014925373,3,10/01/2022
561,02,63.975903614457856,7,10/01/2022
562,03,67.83321554770322,8,10/01/2022
563,04,77.24850543478261,30,10/01/2022
564,05,64.86698473282449,7,10/01/2022
565,06,87.17773359840962,42,10/01/2022
566,07,76.95873786407768,36,10/01/2022
567,08,73.66838487972511,35,10/01/2022
568,09,84.19222222222221,104,10/01/2022
569,10,74.06554621848738,21,10/01/2022
570,01,65.76268656716418,6,09/24/2022
571,02,72.68554216867466,14,09/24/2022
572,03,78.48197879858657,23,09/24/2022
573,04,86.68885869565213,105,09/24/2022
574,05,76.39045801526714,33,09/24/2022
575,06,92.49980119284281,192,09/24/2022
576,07,81.93762135922334,193,09/24/2022
577,08,71.44673539518901,30,09/24/2022
578,09,75.75555555555557,74,09/24/2022
579,10,69.8924369747899,14,09/24/2022
580,01,73.96567164179105,8,09/17/2022
581,02,74.47108433734938,3,09/17/2022
582,03,77.2424028268551,20,09/17/2022
583,04,82.48328804347817,69,09/17/2022
584,05,75.5507633587786,19,09/17/2022
585,06,87.30934393638175,79,09/17/2022
586,07,81.84635922330098,39,09/17/2022
587,08,74.3085910652921,19,09/17/2022
588,09,80.57000000000001,101,09/17/2022
589,10,72.79831932773112,13,09/17/2022
590,01,73.50746268656717,32,09/10/2022
591,02,76.07710843373494,22,09/10/2022
592,03,79.83745583038875,46,09/10/2022
593,04,84.67092391304351,106,09/10/2022
594,05,78.17977099236646,25,09/10/2022
595,06,89.29502982107354,106,09/10/2022
596,07,85.08179611650488,98,09/10/2022
597,08,84.56632302405495,174,09/10/2022
598,09,96.8588888888889,471,09/10/2022
599,10,81.60840336134456,83,09/10/2022
600,01,78.72686567164178,50,09/03/2022
601,02,81.62409638554217,29,09/03/2022
602,03,85.25335689045936,90,09/03/2022
603,04,88.88722826086946,139,09/03/2022
604,05,82.85038167938939,59,09/03/2022
605,06,90.16779324055662,168,09/03/2022
606,07,88.92718446601953,142,09/03/2022
607,08,85.24742268041237,169,09/03/2022
608,09,91.73111111111112,396,09/03/2022
609,10,84.55882352941178,129,09/03/2022
610,01,81.20597014925373,70,08/27/2022
611,02,83.09277108433734,50,08/27/2022
612,03,83.79575971731447,97,08/27/2022
613,04,85.66915760869564,135,08/27/2022
614,05,80.38759541984743,38,08/27/2022
615,06,87.1986083499006,124,08/27/2022
616,07,86.21577669902906,126,08/27/2022
617,08,81.20652920962195,88,08/27/2022
618,09,90.94555555555557,273,08/27/2022
619,10,84.74957983193279,110,08/27/2022
620,01,78.39701492537316,59,08/20/2022
621,02,81.2433734939759,41,08/20/2022
622,03,79.12014134275618,73,08/20/2022
623,04,85.4451086956522,135,08/20/2022
624,05,78.62805343511445,24,08/20/2022
625,06,92.63817097415507,255,08/20/2022
626,07,84.39490291262126,179,08/20/2022
627,08,82.78350515463922,126,08/20/2022
628,09,91.6988888888889,284,08/20/2022
629,10,86.61428571428573,212,08/20/2022
630,01,82.75522388059703,197,08/13/2022
631,02,85.16385542168673,160,08/13/2022
632,03,85.98268551236754,254,08/13/2022
633,04,88.635597826087,174,08/13/2022
634,05,80.91774809160303,84,08/13/2022
635,06,94.65904572564607,303,08/13/2022
636,07,89.30145631067965,329,08/13/2022
637,08,83.5759450171821,175,08/13/2022
638,09,88.0277777777778,255,08/13/2022
639,10,84.73193277310928,181,08/13/2022
640,01,84.47761194029852,253,08/06/2022
641,02,84.855421686747,148,08/06/2022
642,03,85.86678445229677,257,08/06/2022
643,04,89.53627717391308,266,08/06/2022
644,05,83.8328244274809,162,08/06/2022
645,06,96.2761431411531,455,08/06/2022
646,07,91.0509708737863,616,08/06/2022
647,08,87.44089347079037,206,08/06/2022
648,09,89.1411111111111,291,08/06/2022
649,10,85.88403361344541,346,08/06/2022
650,01,84.49850746268655,226,07/30/2022
651,02,84.97349397590362,128,07/30/2022
652,03,86.24169611307421,249,07/30/2022
653,04,90.91698369565225,313,07/30/2022
654,05,80.72480916030538,68,07/30/2022
655,06,97.75109343936373,543,07/30/2022
656,07,85.9555825242718,306,07/30/2022
657,08,81.66323024054985,218,07/30/2022
658,09,91.43666666666665,264,07/30/2022
659,10,90.17983193277306,874,07/30/2022
660,01,85.82238805970151,435,07/23/2022
661,02,87.29397590361447,242,07/23/2022
662,03,86.96466431095406,381,07/23/2022
663,04,90.09510869565227,302,07/23/2022
